id,lokasi,text,daya_tarik,amenitas,aksesibilitas,citra,harga,sdm
89433,Candi Borobudur,Luar biasa sebuah mahakarya manusia yg sempurna,1,-,-,-,-,-
89434,Candi Borobudur,"bagus tempatnya cuman pengunjungnya kurang mematuhi peraturan, dilarang memanjat candi tetap memanjat candi.",1,-,-,-1,-,-
89435,Candi Borobudur,Tempat nya bagus kaya nya lain waktu bakal kesitu lagi,1,-,-,-,-,-
89436,Candi Borobudur,"Mantap kalo kesini pagi, udara sejuk dan bisa melihat deretan gunung yang mengelilinginya.",-,-,-,1,-,-
89437,Candi Borobudur,Tolong ya kalau bisa jalan keluarnya yg langsung gitu jangan di suruh muter muter labirin pasar panas + capek,-,-,-1,-,-,-
89438,Candi Borobudur,"Candi borobudur ini merupakan salah satu candi peninggalan tertua di Indonesia dan sudah diakui sebagai keajaiban dunia. Candi Borobudur ini merupakan candi bersejarah milik umat budha yang berlokasi di Magelang, Jawa Tengah. Candi ini merupakan candi peninggalan budha yang sangat besar di dunia. Ternyata selain sebagai peninggalan candi budha yang terbesar candi ini merupakan monument umat budha yang pernah ada.
harga masuk ke candi ini dulu 40 rb tidak tau kalau sekarang dan disana anda bisa menikmati keindahan yang disuguhkan di dalam maupun luar candi Borobudur ini.",0,-,-,-,0,-
89440,Candi Borobudur,"indahhh & baguss banget , hanya petugas perlu lebih tegas terhadap pengunjung nakal",1,-,-,-,-,-1
89441,Candi Borobudur,Wooow keren  pokonya mantap hasil kreasi tanpa batas dari jaman dulu..,1,-,-,-,-,-
89442,Candi Borobudur,"Kali ini bintang 4 deh, karena perjalanan kali ini lumayan berkesan. Mulai dr rsa mls krn hrus bayangin gendong krucil ditengah terik matahari dan tangga berundak hingga pulang hrus menyusuri pasar yg g kunjung usai. Ternyata 2 bayangan itu g ada hehehehe.... Sekarang borobudur ada fasilitas untuk kursi roda dan stroller. Its really helpfull banget trus pulangnya ada jalan yg tidak harus lewat pasar, ditambah teduh karena pepohonan. Jadi oke bgt. Sayangnya air di toilet tidak ada, jd kami kesulitan buat ke KM, semoga segera diperbaiki. Biar bisa kasih bintang 5.",-,1,1,-,-,-
89443,Candi Borobudur,Indah candinya Aku pertama x ny kesana,1,-,-,-,-,-
89444,Candi Borobudur,kalau ke candi borobudur lebih baik menggunakan jasa pemandu yang redaksi. bukan pemandu biasa. agar bisa dijelaskan dengan baik. terima kasih pak Taufik,-,-,-,-,-,1
89445,Candi Borobudur,Tidak pernah bosen...trus terusan ke sini sudah 5x nya,-,-,-,1,-,-
89446,Candi Borobudur,Perlu di jaga dan dilestarikan.. nice place..,-,-,-,1,-,-
89447,Candi Borobudur,"Pake tiket pelajar lebih hemat, tapi harus rombongan. Liburan kayak gini pengunjung membludak. Stay save aja",-,-,-,0,0,-
89448,Candi Borobudur,"Bagus.. Dr luar ngga keliatan candinya, krn candi ketutup sm pepohonan.. Tp untuk akses masuk dr gerbang utama dekat, tidak jauh sperti para2 penjual yg menawarkan sampai maksa itu, ad yg blg jauh banget, pdhl engga jauh.. Capek wktu naik ke candinya aja.. Trus ati2 pulangnya, ada pintu keluar bukan buatan borobudurnya asli kayanya, itu nnti bakal di muter2in ke tmpt oleh2..kalau jalan keluar mnding tnya petugas aslinya borobudur.. Biar ngg capek",1,-,1,-,-,-
89449,Candi Borobudur,"Tempat nya luas, salah satu objek wisata yang banyak dikunjungi oleh wisatawan mancanegara maupun lokal.",0,-,-,-,-,-
89450,Candi Borobudur,"Tempatnya rame banget, apalagi pas hari libur. Walaupun hari itu panas menyengat, tidak menjadi penghalang bagi kami untuk terus berjuang menaiki tangga candi yang begitu tinggi. Mudah2an masih bisa berkunjung ke tempat ini lagi.",-,-,-,1,-,-
89451,Candi Borobudur,Icon Indonesia yg sdh sangat dikenal oleh dunia yaitu Candi Borobudur tepatnya di Kab. Magelang-Jawa Tengah,0,-,-,-,-,-
89452,Candi Borobudur,"Tempat wisata yg selalu membuat rasa kangen ingin kembali lg kesana,entah keberapa kalinya mengunjungi candi borobudur tp ga prnh bosan",-,-,-,-,-,-
89453,Candi Borobudur,"Candi megah peninggalan kejayaan  kerajaan Budha di Indonesia ,yang membuktikan bahwa Indonesia telah memiliki peradaban dan budaya yang maju sejak dahulu kala, candi terbesar se Asia Tenggara ,lokasi mudah dijangkau dan sangat instagramable.......",1,-,1,-,-,-
89454,Candi Borobudur,Sampai sana gk bakal nyesel disuguhi   indahnya candi. Tapi jalan dari pintu ke candi sangat jauh,-,-,-1,-,-,-
89455,Candi Borobudur,"Tempat yang nyaman dikunjungi, tapi usahakan berkunjung tidak diwaktu siang hari atau pun saat ramai orang agar anda bisa lebih menikmati pengalaman yang sesungguhnya. Asiik.",-,-,-,1,-,-
89456,Candi Borobudur,"Warisan budaya Indonesia yang sangat tinggi, candi agama Buddha terbesar di Indonesia, sarat makna religi dan budaya yang memperkaya kekayaan Nusantara",0,-,-,-,-,-
89457,Candi Borobudur,Tempat bersejarah yang sangat bagus untuk destinasi wisata,1,-,-,-,-,-
89458,Candi Borobudur,"Prasasti yang sangat terawat . Cocok untuk wisata anak sekolah atau mahasiswa dann Berlibur ke Yogyakarta tentunya belum lengkap tanpa mengunjungi Candi Borobudur. Kuil Buddha terbesar di seluruh dunia, Borobudur berdiri sejak abad ke-9 pada masa pemerintahan Dinasti Syailendra dari Kerajaan Medang. Situs Warisan Dunia UNESCO ini akan membuat Anda berdecak mengagumi strukturnya yang megah, reliefnya yang penuh detail, dan 72 stupanya yang masing-masing memuat patung Buddha.

Sambil menaiki anak tangga candi utama yang berbentuk seperti piramid berteras, resapi nuansa sejarah dan kebudayaan yang menyelimuti Anda. Perhatikan ribuan panel pada tembok candi yang menggambarkan kepercayaan umat Buddha dan kehidupan masyarakat Jawa ribuan tahun yang lalu. Naiklah terus sampai ke puncak candi lalu nikmati pemandangan pepohonan dan pegunungan menakjubkan yang menanti Anda di atas!",1,-,-,-,-,-
89459,Candi Borobudur,"Makin bagus sekarang tempat nya. Dulu pas esempe beda banget. Sekarang ada banyak track nya. Mulai dri tracking buat pejalan kaki, orang bersepeda sama tracking buat yg naik kereta kelinci, pokoknya makin lama makin bagus deh. I like it",1,1,-,1,-,-
89460,Candi Borobudur,"Bagus...............
Lain kali kalo ada rezeki dan kesempatan, pasti main ke borobudur kembali",1,-,-,-,-,-
89461,Candi Borobudur,"Jalan keluar yg sangat jauh hanya liat kandang gajah dan terkesan supaya wisatawan pakai shuttlee, klo pake shutlle keliling kampung pasti telat sampe parkiraN dan jalan di pasar memutar2, pengamen naik2 bis dan asongan klo di peringatkan marah2 dll.pdhl borobudur candi yg sangat bagus t0 kesan setelah selesai di candi selalu jelek wisatawan kecapkeaan.",1,-1,-1,-1,-,-
89463,Candi Borobudur,Mari kita jaga dan lestarikan salah satu keajaiban dunia ini..,0,-,-,-,-,-
89464,Candi Borobudur,"Sy hanya diluar mahal,50rb masuknya 1 0rang, parkirnya jauh ,ribet tarlalu di komersilkan,mau gak mau naik delman 100rb, jln jauh meter ,",-,-1,-1,-,-1,-
89465,Candi Borobudur,"Wisata yg menakjubkan, cuma kurang satu. Fasilitas antar jemput untuk pengunjung yg gratis, karena terlalu jauh juga untuk jalan kaki keluar tempat wisata",1,-1,-1,-,-,-
89466,Candi Borobudur,Borobudur sekarang sudah sangat bagus drpd 10 tahun yang lalu. Sudah banyak rombak di sana sini & menjadi tempat yang bagus. Sangat rekomen untuk dikunjungi,1,-,-,1,-,-
89467,Candi Borobudur,Nyaman pemandangan dan suasana pedesaan sangat cocok untuk tempat menenangkan pikiran dan melepas penat..,1,-,-,1,-,-
89468,Candi Borobudur,Suasanya asri sekali kebersihan  sangat dijaga,-,-,-,1,-,-
89469,Candi Borobudur,9 keajaiban dunia.. Amazing,1,-,-,-,-,-
89470,Candi Borobudur,"Candi nya Luar Biasa Bagus tapi Tiket terlalu mahal, susah parkir dan pintu keluar sangat menyiksa.",1,-1,-1,-,-1,-
89471,Candi Borobudur,Salah satu dari tujuh Keajaiban dunia milik indonesia,0,-,-,-,-,-
89473,Candi Borobudur,"Wisata budaya peninggalan nenek moyang kita ,,",0,-,-,-,-,-
89474,Candi Borobudur,Keajaiban Dunia paling Jooss.....,1,-,-,-,-,-
89475,Candi Borobudur,Setuju bgt kalo Candi Borobudur masuk ke list situs keajaiban dunia yg dilindungi oleh Unesco. Tempatnya megah bgtttt... Halaman luas bgt dan asri. Pantas aja Borobudur sering dijadikan lokasi study tour.,1,-,-,1,-,-
89478,Candi Borobudur,Kalau jam 12 panas terik.,-,-,-,-1,-,-
89479,Candi Borobudur,Tempatnya bagus bersih dan nyaman cuman pedagang souvenirnya terlalu agresif..,1,-,-,-1,-,-
89480,Candi Borobudur,"Karena tempatnya bagus saya beri bintang 5,tapi sikap staf keamanan yang berjaga saat saya berkunjung kurang baik",1,-,-,-,-,-1
89482,Candi Borobudur,"The world heritage, bukti bahwa nenek moyang Indonesia mempunyai budaya adiluhung sejak jaman dahulu tidak kalah dengan bangsa lain di dunia...

Tidak pernah membosankan datang ke tempat ini walaupun cuaca terik...",1,-,-,1,-,-
89483,Candi Borobudur,Bagus tapi ngga ramah utk turis. Udah bayar mahal tapi fasilitasnya ngga worthed. Kmarn sy nemenin org malaysia ke borobudur HTM nya 210k. Misal buat jalur yang ada tutupnya kek  sumpah panas2 bgt aplg org malaysia ngg suka jalan jauh2,-,-1,-,-1,-1,-
89484,Candi Borobudur,"Tempatnya bagus banget, disana juga ada tour guide nya yg bisa kasih penjelasan sejarah tentang borobudur. Dari tempat loket ke candi borobudurnya jauh, usahain bawa payung biar ga kepanasan atau keujanan pas di sana hehe. Pas naik ke puncak candinya bisa liat pemandangan yang bagus banget. Disana juga ada yang jual souvenir.",1,1,-1,1,-,1
89486,Candi Borobudur,"Memuji keajaiban dunia yg ada di wilayah Kab.Magelang,tiket masuk saat liburan 50K.",1,-,-,-,0,-
89487,Candi Borobudur,Tempatnya bagus cuman biaya masuknya yg mahal,1,-,-,-,-1,-
89488,Candi Borobudur,"peninggalan sejarahnya keren banget. meskiun beberapa kepala budha sudah hilang, tapi ttp kerasa sekali sejarahnya",1,-,-,-,-,-
89489,Candi Borobudur,"Ksni pas hri biasa jdi sepi bisa jdi bisa leluasa. Hanya pulangnya lwt pasar bikin pusing pala bnyk yg nawarin oleh"" jauh kluarnya",-,-,-1,1,-,-
89490,Candi Borobudur,"Salah satu keajaiban dunia, merupakan candi terbesar di dunia, untuk mencapai lokasi ini mudah, tips bagi para pengunjung yang membawa kendaraan :
1. Jangan tergiur dengan banyaknya orang yang menawarkan jasa parkir/antar kedalam, parkirlah di dalam area parkir yang resmi
2.jika ingin melihat sunrise diborobudur datanglah ke hotel manohara untuk menginap karena tiket masuk ke borobudur dibuka jam 6 pagi, jika anda tidak mau menginap berbicara dengan resepsionis untuk bisa melihat sunrise tanpa menginap dengan membayar uang seauai kesepakatan.
3. ketika masuk dilarang membawa makanan karna akan dititip di pos masuk, sebaiknya makan dlu sebelum masuk
4. ketika sudah masuk area candi jangan pernah naik ke relief candi, memegang stupa karna itu benda bersejarah, dan tempat ibadah agama hindu, turis lokal banyak sekali yang melakukan hal tsb, 
5. ketika keluar area candi ada spot yaitu museum samudra raksa yang bisa dikunjungi 
5. jagalah selalu kebersihan dan jangan meludah sembarangan,",1,1,-,0,-,-
89492,Candi Borobudur,Kondisi masih baik namun kenapa rute kembali ke parkiran harus diputar2... hanya menambah capek saja..,-,-,-1,1,-,-
89493,Candi Borobudur,"Menyenangkan, sebagai tempat yg tepat liburan bersama keluarga, lokasi luas san asri. Candi borobudur diakui sebagai world heritage, candi terbesar di Dunia.",1,-,-,1,-,-
89494,Candi Borobudur,Tempat yang luaaaaarrr biasa bukannkisah  sejarah nya tapi bentuk struktur susunan candi dari batu ditumpuk dengan apik yang sangat sangat luaaaarr biasa keagungan mu ya Allah,1,-,-,-,-,-
89495,Candi Borobudur,Hawa yang panas diobati dengan keindahan dan kemegahan borobudur.kebersihan sepertinya perlu disosialisasi ke pengunjung karena masih dapat ditemukan sampah yang berserakan diarea candi borobudur..,1,-,-,-1,-,-
89496,Candi Borobudur,Banyak sejarah dan misteri sejarah yg belum terungkap.. Tempat yg pas untuk mengenal leluhur atau asal usul kita,1,-,-,-,-,-
89497,Candi Borobudur,Salah satu wisata edukasi dan sejarah...cocok buat  liburan bersama keluarga,-,-,-,1,-,-
89498,Candi Borobudur,"Candi yang sudah terkenal ke seluruh dunia,",0,-,-,-,-,-
89499,Candi Borobudur,Salah 1 peninggalan prasejarah yg menakjubn.,1,-,-,-,-,-
89500,Candi Borobudur,pengalama yang begitu luar biasa sekali.. pasti akan selalu kangen sama tempat ini.,-,-,-,1,-,-
89501,Candi Borobudur,Bagus sekali sayang hanya bisa berswafhoto disini ...harusnya ada pemandu dan musium sejarah disekitarnya yang bisa menjelaskan sejarah yang merupakan salah satu bangunan keajaiban dunia ini....,1,-,-,-,-,-1
89502,Candi Borobudur,"Dilihat dr depan banyak stupa yg hilang, patung budha da ada kepalanya.",-1,-,-,-,-,-
89503,Candi Borobudur,"Selalu menjadi tempat yg asyik untuk dikunjungi setiap wisatawan, baik lokal maupun manca. Termasuk sebagai warisan budaya dunia, yg wajib kita lestarikan bersama. Siapkan payung, jika ingin berkunjung kesini. Juga ada banyak spot untuk ber swafoto. Terakhir, saat turun dari candi, kita akan diberi alternatif untuk wisata keliling area perkampungan di sekitar candi, menggunakan mobil VW",1,1,-,1,-,-
89504,Candi Borobudur,"Candi Borobudur masih tetap menjadi pilihan wisatawan domestik maupun internasional untuk berwisata, ditengah banyaknya tempat wisata baru yang bermunculan.",0,-,-,-,-,-
89506,Candi Borobudur,Suasana yg bikin Tenang hati,-,-,-,1,-,-
89507,Candi Borobudur,rapi bersih?arsi suasananya sejuk...cocok buat liburan,-,-,-,1,-,-
89508,Candi Borobudur,Kebersihan di lokasi butuh perhatian lebih.,-,-,-,-1,-,-
89509,Candi Borobudur,Mengingatkan kita akan sejarah kejayaan Indonesian pada jaman dahulu kala,0,-,-,-,-,-
89510,Candi Borobudur,"Salah satu tempat wisata yang wajib di kunjungi kalau ke jawa tengah. Tiket 50.000 (Domestik) dan 350000 ( Manca Negara).
Candi borobudur memiliki pemandangan ya sangat indah. Kamu juga bisa menikmati sunrise di borobudur. Tapi dengan tarif masuk yang berbeda. Tempat wisata ini di kelilingi oleh pedesaan. Jadi masih memiliki udara sejuk.",1,-,-,1,0,-
89511,Candi Borobudur,"Baik, Tiket Masuk Candi Borobudur 2020 untuk Dewasa Rp 35.000 dan Anak-Anak: Rp 25.000",-,-,-,-,0,-
89512,Candi Borobudur,"Sangat Kecewa ,Pintu keluarnya di arahkan ke pasar pasar...apakah sama pelayananya Antara wisatawan Domestik & luar negeri",-,-,-1,-,-,-1
89513,Candi Borobudur,Salah satu keajaiban dunia milik Indonesia yg selalu menjadi tujuan semua wisatawan asing maupun lokal,0,-,-,-,-,-
89514,Candi Borobudur,"sangat berkesan,terutama yg mencintai budaya peninggalan,cagar budaya,,,apalgi menjelang sore hari",1,-,-,-,-,-
89515,Candi Borobudur,"Salah satu jejak warisan sejarah yang membuktikan bahwa Indonesia adalah bangsa yang besar, negeri yang pintar. 
Perlu diingat, digarisbawahi, di-Italic, dan juga di-bold! Bahwa Borobudur terletak di kota Magelang, bukan yang lain. Ingat !!! Yang ada badaknya. Eh, Badakan nya...",0,-,-,-,-,-
89516,Candi Borobudur,Beberapa tahun silam saya pernah ke tempat ini. Dan tempat ini pemandangannya sangat indah !,1,-,-,-,-,-
89517,Candi Borobudur,Tempat bagus. Sayangnya tidak ada parkir sepeda motor. Parkir harus di luar area.,-,-1,-,1,-,-
89518,Candi Borobudur,Tempat wisata sejarah yg bagus dan nyaman,1,-,-,1,-,-
89519,Candi Borobudur,Bawa payung/topi serta plus air mineral... panas udaranya,-,-,-,-1,-,-
89520,Candi Borobudur,Bagus tempatnya bersih n stafnya sangat membantu jalannya menuju kesana juga enak n sangat nyaman,-,-,1,1,-,1
89521,Candi Borobudur,Tempat dimana bangunan ini (candi Borobudur) dibangun setelah atau dijaman nabi Musa as,0,-,-,-,-,-
89522,Candi Borobudur,Salah satu situs agama hindu terbesar....,0,-,-,-,-,-
89523,Candi Borobudur,Tempat yang sangat bersejarah dan termasuk wisata warisan dunia,1,-,-,-,-,-
89524,Candi Borobudur,Masih seperti yang dulu.. walapun ga ada perubahan tapi Borobudur  selalu di  rindukan,-,-,-,1,-,-
89528,Candi Borobudur,Rekomendasi parkir kurang baik untuk mobil keluaraga...karena jadi satu dengan pasar dan dalam parkir masih ada parkir liar...,-,-1,-,-,-,-
89529,Candi Borobudur,Bersih..mesji jalan kaki nya jauhhh..,-,-,-1,1,-,-
89530,Candi Borobudur,Gak pernah bosen sih kalau ke jogja pasti salah satu tujuannya ke sini,-,-,-,1,-,-
89531,Candi Borobudur,Salah satu termasuk dari 7 keajaiban dunia yg menakjubkan...,1,-,-,-,-,-
89532,Candi Borobudur,Tempat wisata yang menakjubkan dan termasuk dalam keajaiban dunia.. Dimana struktur batu yang di tata sedemikian rupa sangat presiai rapi dan luar biasa.. Tempat sejarah agama dan sejarah kebudayaan indonesia yang terkenal sampai dunia.. Tempat yang bersih dan nyaman untuk dikunjungi.. Recommend membawa payung ketika disini kalau tidak rental juga ada.. Mantaaap..,1,1,-,1,-,-
89534,Candi Borobudur,Salah satu warisan budaya unesco yang masih sangat terawat dan terjaga kebersihannya,1,-,-,1,-,-
89535,Candi Borobudur,"Bagus banget mah pokoknya sekarang.
Sudah terawat dan bersih.
Fasilitas okee bgt.",-,1,-,1,-,-
89537,Candi Borobudur,Tempat y sangat indah dan bersih beda dgn yg terdahulu klo bisa ditambahkan lampu tembak u/ dimalam hari,1,-,-,1,-,-
89538,Candi Borobudur,"Nice lurrr, apik
Kalau ada kata lain untuk menggabarkan tempat ini, beritau ane",1,-,-,-,-,-
89541,Candi Borobudur,Wonder of the world. Candi suci agama Buddha.,0,-,-,-,-,-
89542,Candi Borobudur,Salahsatu keajaiban dunia yang memang ajaib...,0,-,-,-,-,-
89543,Candi Borobudur,"Menyediakan fasilitas umum yg bgitu lengkap, ada tmpat membeli oleh2 jga dibawah.",-,1,-,-,-,-
89544,Candi Borobudur,Menjawab pertanyaan yang pernah diterima benarkah candi borobudur itu unik megah dan sederhana....,1,-,-,-,-,-
89546,Candi Borobudur,"Kesan pertama tiba di candi ini, benar2 takjub. Bagaimana kok bisa orang jaman dulu membuat candi megah terbuat dari batu setinggi dan rumit seperti itu",1,-,-,-,-,-
89548,Candi Borobudur,Sangat menakjubkan ...peninggalan nenek  moyang yg hingga kini masih kokoh dan anggun..,1,-,-,-,-,-
89549,Candi Borobudur,"Tempatnya bagus,pelayanan ya bagus juga dan tempat nya bersih patas saja termasuk destinasi internasional yang terkenal didunia",1,-,-,1,-,1
89550,Candi Borobudur,Nyaman untuk rekreasi bersama keluarga dan lengkap untuk berbelanja oleh oleh,-,1,-,1,-,-
